BOOK-IDS,NAMES,GENRE,RATING,BOOK-URLS,IMAGE URLS
61229235,"King of Wrath (Kings of Sin, #1)",Romance,5,https://www.goodreads.com/book/show/61229235-king-of-wrath,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663874437i/61229235.jpg
61767292,"Icebreaker (UCMH, #1)",Romance,4,https://www.goodreads.com/book/show/61767292-icebreaker,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659045816i/61767292.jpg
62848145,"The Housemaid's Secret (The Housemaid, #2)",Thriller,5,https://www.goodreads.com/book/show/62848145-the-housemaid-s-secret,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1664729357i/62848145.jpg
62994279,"King of Pride (Kings of Sin, #2)",Romance,4,https://www.goodreads.com/book/show/62994279-king-of-pride,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1680192054i/62994279.jpg
63336417,"Black Ties & White Lies (Black Tie Billionaires, #1)",Romance,4,https://www.goodreads.com/book/show/63336417-black-ties-white-lies,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1672804605i/63336417.jpg
124943221,"King of Greed (Kings of Sin, #3)",Romance,4,https://www.goodreads.com/book/show/124943221-king-of-greed,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1687764099i/124943221.jpg
1422514,The Palace of Illusions ,Fiction,5,https://www.goodreads.com/book/show/1774836.The_Palace_of_Illusions,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1679444666i/1774836.jpg
46182363,The Forest of Enchantments ,Romance ,5,https://www.goodreads.com/book/show/43293099-the-forest-of-enchantments,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1545301594i/43293099.jpg
17281258,The playlist ,Romance ,4,https://www.goodreads.com/book/show/123853241-the-playlist,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1679949831i/123853241.jpg
37862169,The Kiss Thief,Romance ,4,https://www.goodreads.com/book/show/41450662-the-kiss-thief,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1544101164i/41450662.jpg
43880747,Our scorching Summer,Romance ,4,https://www.goodreads.com/book/show/214033148-our-scorching-summer,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1719017675i/214033148.jpg
44333140,Before the Coffee Gets Cold ,Fiction,5,https://www.goodreads.com/book/show/44421460-before-the-coffee-gets-cold,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1704153539i/44421460.jpg
32620316,The seven Husbands of Evelyn Hugo,Romance ,5,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1664458703i/32620332.jpg
28257707,The subtle Art of Not Giving a Fuck,Self help ,5,https://www.goodreads.com/book/show/49682914-the-subtle-art-of-not-giving-a-fuck,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1685834422i/49682914.jpg
3,Harry Potter and the Sorcerer's Stone,Fiction,5,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1598823299i/42844155.jpg
15881,Harry Potter and the Chamber of Secrets ,Fiction,4,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474169725i/15881.jpg
